Price,Close,High,Low,Open,Volume
Ticker,7203.T,7203.T,7203.T,7203.T,7203.T
Date,,,,,
2020-01-06,1290.9625244140625,1301.372094647091,1284.9897962773152,1296.7646448379191,33361500
2020-01-07,1316.5596923828125,1317.754258625137,1300.177396978659,1306.1501240341872,24803500
2020-01-08,1299.836181640625,1304.102415593656,1286.8667679297503,1290.9623941871007,28061000
2020-01-09,1308.880615234375,1312.293602497046,1303.41981478288,1309.221934791863,21265000
2020-01-10,1307.3448486328125,1313.6588964762955,1305.6383548457152,1313.1469691713894,17417000
2020-01-14,1320.6553955078125,1322.8738162840339,1314.000029023048,1318.0956551915338,24309500
2020-01-15,1309.221923828125,1318.6076387218723,1307.17411065645,1310.7577055898028,21778000
2020-01-16,1311.7816162109375,1312.4641511390955,1307.3446704754567,1309.221875879118,16113000
2020-01-17,1313.146728515625,1316.0477882532466,1309.2218143558293,1316.0477882532466,21640000
2020-01-20,1327.6519775390625,1328.6758320032593,1315.0238836481017,1316.3891618084976,15775000
2020-01-21,1340.2801513671875,1347.106125951882,1330.5531167527768,1331.4063635758635,25988000
2020-01-22,1334.9898681640625,1339.5974215279261,1328.8465331163104,1339.5974215279261,22193000
2020-01-23,1337.2083740234375,1341.9866395381134,1330.7237190256562,1333.6247790435364,20944000
2020-01-24,1343.351806640625,1344.0343415991008,1334.478018931598,1337.2083670777115,18572500
2020-01-27,1322.873779296875,1333.9659870239477,1322.873779296875,1329.8703609699742,24639500
2020-01-28,1322.020751953125,1326.1162745307,1315.365384549908,1317.4131979167528,24655000
2020-01-29,1325.262939453125,1326.798825415084,1318.2663570844404,1321.6793444166979,17979500
2020-01-30,1302.7371826171875,1320.1433330331247,1294.887250005122,1320.1433330331247,24394000
2020-01-31,1305.8089599609375,1318.4369504593801,1305.8089599609375,1309.7338745191548,24543500
2020-02-03,1293.52197265625,1300.1773384524051,1285.672144827632,1289.597058741941,23018000
2020-02-04,1303.590576171875,1304.4438230199635,1283.7951868025589,1285.8430000691928,19983000
2020-02-05,1316.5596923828125,1319.9726792716858,1311.0988925293968,1315.7064456605942,20036000
2020-02-06,1350.5191650390625,1369.6318112843262,1325.9456139292804,1326.6282530763729,63677500
2020-02-07,1341.645263671875,1359.3927342811685,1334.8192894015078,1358.1982721087356,24210500
2020-02-10,1322.1912841796875,1332.6009581351059,1319.802255518196,1328.5053316352514,20189000
2020-02-12,1330.041259765625,1330.041259765625,1309.3926230622474,1315.7066707179265,25835500
2020-02-13,1323.89794921875,1328.8468232002822,1318.607859781489,1325.0925157821669,17017000
2020-02-14,1318.94921875,1325.0925553221407,1314.1709523537515,1324.4099160780695,18256500
2020-02-17,1318.266357421875,1320.143458792654,1300.5187816271505,1309.5632813848338,15286500
2020-02-18,1295.9112548828125,1315.1946113354877,1293.692729923501,1310.2457383347023,21080000
2020-02-19,1287.2080078125,1308.5391762574775,1284.9895871254416,1308.368568572356,26228000
2020-02-20,1322.873779296875,1327.4813325685707,1305.1262052711197,1305.4675248016338,28639500
2020-02-21,1337.37890625,1344.2048798900091,1326.7986262767674,1328.5051196867698,25774500
2020-02-25,1292.49853515625,1304.1026729674306,1271.337968910591,1274.7509567465925,41735000
2020-02-26,1287.5498046875,1292.1573596110482,1273.7272440729907,1280.041188948671,33874500
2020-02-27,1260.074951171875,1276.4572485279732,1254.1022234046986,1275.7746094064248,44234500
2020-02-28,1216.218017578125,1235.3307668554878,1195.228166990815,1229.016719662595,53093500
2020-03-02,1220.82568359375,1227.8222663818474,1183.1121088178875,1184.4772830014047,45307500
2020-03-03,1202.0540771484375,1253.931417662692,1202.0540771484375,1243.6924565427091,40353500
2020-03-04,1190.1087646484375,1204.1019298588012,1180.893656877412,1189.084805920484,29270500
2020-03-05,1195.91064453125,1209.9039123030695,1188.060815958719,1207.173564318563,29305000
2020-03-06,1159.3917236328125,1177.6511207275446,1152.0537182701476,1177.4805130402676,41045000
2020-03-09,1108.36767578125,1124.0674389022145,1088.0603587657695,1121.166378734844,44313500
2020-03-10,1126.2857666015625,1136.524728116122,1069.2888391747395,1091.3026480934836,49111500
2020-03-11,1115.193603515625,1165.535166336912,1111.268688940441,1131.4052932377344,41369500
2020-03-12,1076.6268310546875,1100.517740947684,1062.9748825444037,1092.1558808226946,47994000
2020-03-13,1038.2308349609375,1082.4289604134092,984.8174974772003,1011.2681504951598,79205000
2020-03-16,1013.8277587890625,1054.2716760530386,1011.4387303542045,1037.3774526950401,46524000
2020-03-17,1085.3299560546875,1100.6883988290463,993.520618968075,998.8107075945785,81134000
2020-03-18,1077.9921875,1156.4909047182423,1075.0911271194063,1079.3573617508325,92084000
2020-03-19,1091.302734375,1124.4087542186405,1078.16271189454,1078.5040314698983,93711500
2020-03-23,1053.2479248046875,1071.5074280929996,1047.6165164669003,1057.1728394548963,77562000
2020-03-24,1067.070556640625,1074.2378514609443,1043.5209629362469,1069.1183700401614,60464000
2020-03-25,1180.722900390625,1180.722900390625,1108.708853488688,1116.9000014996352,64061000
2020-03-26,1146.4222412109375,1165.8763075641755,1132.7702940594977,1151.8830409027316,60223000
2020-03-27,1199.4945068359375,1199.4945068359375,1148.9822289928095,1191.1326457406424,76307000
2020-03-30,1180.0496826171875,1183.5219487976324,1143.9381355335927,1164.7717326162615,57345500
2020-03-31,1128.6600341796875,1180.0496351627864,1126.0558346490789,1176.4036922408443,58846000
2020-04-01,1099.145751953125,1146.3685904041326,1086.819250128462,1116.3335109146983,55771500
2020-04-02,1091.5069580078125,1111.9933084616937,1088.5555103910726,1098.972309533571,50396500
2020-04-03,1075.5343017578125,1106.263874429635,1069.9786554386747,1085.0830324433136,40147000
2020-04-06,1142.375732421875,1151.7508948004627,1071.5415136714248,1081.61106580369,52831500
2020-04-07,1148.9727783203125,1169.6328030487841,1118.7641282222594,1156.438128898071,47160500
2020-04-08,1172.41064453125,1175.5356628736904,1137.6879830260143,1152.9659328952873,42991000
2020-04-09,1159.7369384765625,1168.2440332556423,1147.4104355584584,1166.5079001142103,28752000
2020-04-10,1151.924560546875,1161.6468656198278,1137.3409969722677,1142.3758264353335,29598000
2020-04-13,1132.8270263671875,1152.0980644296642,1131.2644639447503,1138.9034931752874,20673000
2020-04-14,1171.889892578125,1172.7579591652197,1134.563029333044,1134.563029333044,33582500
2020-04-15,1169.8065185546875,1171.889899569176,1154.7021386560973,1159.7369672773473,26336000
2020-04-16,1146.1953125,1149.3203314832033,1139.0771018527964,1144.4591790687566,28434000
2020-04-17,1172.9315185546875,1179.1816614993638,1150.0146456530163,1152.4451684938695,33658500
